Type,Sensorid,LocationGeneral,LocationArea,LocationSpecific,Description,Details
Setra Power Battalion 48,ELEUV0202SM3Pc,UVA,,2nd Floor Olsson,Right Panel Phase C,circuit 2L2
Setra Power Battalion 48,ELEUV0202SM3Pb,UVA,,2nd Floor Olsson,Right Panel Phase B,circuit 2L2
Setra Power Battalion 48,ELEUV0202SM3Pa,UVA,,2nd Floor Olsson,Right Panel Phase A,circuit 2L2
Setra Power Battalion 48,ELEUV0202SM3Oc,UVA,,210 Olsson,Door Opener Elevator Lobby,circuit 24
Setra Power Battalion 48,ELEUV0202SM3Ob,UVA,,206 Olsson,Exhaust fan,circuit 22
Setra Power Battalion 48,ELEUV0202SM3Oa,UVA,,208 Olsson,Receptacles,circuit 20
Setra Power Battalion 48,ELEUV0202SM3Mc,UVA,,270 Olsson,Receptacles,circuit 23
Setra Power Battalion 48,ELEUV0202SM3Ma,UVA,,210 Olsson,Door Controls Attic,circuit 19
Setra Power Battalion 48,ELEUV0202SM3Kc,UVA,,208 Olsson,Receptacles,circuit 18
Setra Power Battalion 48,ELEUV0202SM3Kb,UVA,,256 Olsson,Lighting,circuit 16
Setra Power Battalion 48,ELEUV0202SM3Ja,UVA,,206 Olsson,Receptacles,circuit 37
Setra Power Battalion 48,ELEUV0202SM3Ib,UVA,,270 Olsson,Lighting,circuit 15
Setra Power Battalion 48,ELEUV0202SM3Ia,UVA,,213 Olsson,Lighting,circuit 13
Setra Power Battalion 48,ELEUV0202SM3Hb,UVA,,201 Olsson,Receptacles,circuit 34
Setra Power Battalion 48,ELEUV0202SM3Gc,UVA,,203 Olsson,Lighting,circuit 12
Setra Power Battalion 48,ELEUV0202SM3Gb,UVA,,210 Olsson,Lighting,circuit 10
Setra Power Battalion 48,ELEUV0202SM3Fc,UVA,,206 Olsson,Receptacles,circuit 35
Setra Power Battalion 48,ELEUV0202SM3Fb,UVA,,201 Olsson,Receptacles,circuit 33
Setra Power Battalion 48,ELEUV0202SM3Ec,UVA,,229 Olsson,Office furniture,circuit 11
Setra Power Battalion 48,ELEUV0202SM3Eb,UVA,,229 Olsson,Office furniture,circuit 9
Setra Power Battalion 48,ELEUV0202SM3Ea,UVA,,229 Olsson,Office furniture,circuit 7
Setra Power Battalion 48,ELEUV0202SM3Db,UVA,,206 Olsson,Receptacles,circuit 28
Setra Power Battalion 48,ELEUV0202SM3Cc,UVA,,229 Olsson,Office furniture,circuit 6
Setra Power Battalion 48,ELEUV0202SM3Cb,UVA,,229 Olsson,Office furniture,circuit 4
Setra Power Battalion 48,ELEUV0202SM3Ca,UVA,,229 Olsson,Office furniture,circuit 2
Setra Power Battalion 48,ELEUV0202SM3Ba,UVA,,240 Olsson,Receptacles,circuit 25
Setra Power Battalion 48,ELEUV0202SM3Ac,UVA,,229 Olsson,Office furniture,circuit 5
Setra Power Battalion 48,ELEUV0202SM3Ab,UVA,,229 Olsson,Office furniture,circuit 3
Setra Power Battalion 48,ELEUV0202SM3Aa,UVA,,229 Olsson,Office furniture,circuit 1
Setra Power Battalion 48,ELEUV0202SM2Oc,UVA,,208 Olsson,Microwave,circuit 66
Setra Power Battalion 48,ELEUV0202SM2Ob,UVA,,208 Olsson,Receptacles,circuit 64
Setra Power Battalion 48,ELEUV0202SM2Oa,UVA,,210 Olsson,Receptacles,circuit 62
Setra Power Battalion 48,ELEUV0202SM2Mc,UVA,,255 Olsson,Office power,circuit 24
Setra Power Battalion 48,ELEUV0202SM2Mb,UVA,,276 Olsson,Office furniture,circuit 22
Setra Power Battalion 48,ELEUV0202SM2Ma,UVA,,276 Olsson,Office furniture,circuit 20
Setra Power Battalion 48,ELEUV0202SM2Lc,UVA,,213 Olsson,Office furniture,circuit 84
Setra Power Battalion 48,ELEUV0202SM2Lb,UVA,,213 Olsson,Office furniture,circuit 82
Setra Power Battalion 48,ELEUV0202SM2La,UVA,,213 Olsson,Office furniture,circuit 80
Setra Power Battalion 48,ELEUV0202SM2Kc,UVA,,213 Olsson,Receptacles,circuit 60
Setra Power Battalion 48,ELEUV0202SM2Kb,UVA,,217 Olsson,Receptacles,circuit 58
Setra Power Battalion 48,ELEUV0202SM2Ka,UVA,,225 Olsson,Receptacles,circuit 56
Setra Power Battalion 48,ELEUV0202SM2Jc,UVA,,240 Olsson,Office furniture,circuit 42
Setra Power Battalion 48,ELEUV0202SM2Jb,UVA,,240 Olsson,Office furniture,circuit 40
Setra Power Battalion 48,ELEUV0202SM2Ja,UVA,,243 Olsson,Receptacles,circuit 38
Setra Power Battalion 48,ELEUV0202SM2Ic,UVA,,276 Olsson,Office furniture,circuit 18
Setra Power Battalion 48,ELEUV0202SM2Ib,UVA,,279 Olsson,Office power,circuit 16
Setra Power Battalion 48,ELEUV0202SM2Ia,UVA,,283 Olsson,Office power,circuit 14
Setra Power Battalion 48,ELEUV0202SM2Hc,UVA,,229 Olsson,Receptacles,circuit 78
Setra Power Battalion 48,ELEUV0202SM2Hb,UVA,,213 Olsson,Receptacles,circuit 76
Setra Power Battalion 48,ELEUV0202SM2Ha,UVA,,203 Olsson,Projector,circuit 74
Setra Power Battalion 48,ELEUV0202SM2Gc,UVA,,218 Olsson,Copier,circuit 54
Setra Power Battalion 48,ELEUV0202SM2Gb,UVA,,218 Olsson,Receptacles,circuit 52
Setra Power Battalion 48,ELEUV0202SM2Ga,UVA,,260 Olsson,Receptacles,circuit 50
Setra Power Battalion 48,ELEUV0202SM2Fc,UVA,,247 Olsson,Receptacles,circuit 36
Setra Power Battalion 48,ELEUV0202SM2Fb,UVA,,251 Olsson,Receptacles,circuit 34
